Mittersill,Zell am See,Salzburg,2008,5.500,5.405,5.804
Mistelbach,Mistelbach,Niederösterreich,1874,10.644,10.963,12.025
Mödling,Mödling,Niederösterreich,1875,20.405,20.411,20.630
Murau Murau,Steiermark,-,1298,2.331,2.113,3.448
Mureck,Südoststeiermark,Steiermark,1975,1.690,1.570,3.494
Mürzzuschlag,Bruck-Mürzzuschlag,Steiermark,1923,9.569,8.693,8.047
Neufeld an der Leitha,Eisenstadt-Umgebung,Burgenland,1997,2.948,3.182,3.642
Neulengbach,St. Pölten,Niederösterreich,2000,7.120,7.849,8.609
Neumarkt am Wallersee,Salzburg-Umgebung,Salzburg,2000,5.420,5.844,6.626
Neunkirchen,Neunkirchen,Niederösterreich,1920,11.028,12.249,12.814
Neusiedl am See,Neusiedl am See,Burgenland,1926,5.584,7.123,8.917
Oberndorf bei Salzburg,Salzburg-Umgebung,Salzburg,2001,5.431,5.591,6.058
Oberpullendorf,Oberpullendorf,Burgenland,1975,2.793,3.004,3.286
Oberwart,Oberwart,Burgenland,1939,6.696,7.135,7.998
Oberwölz,Murau,Steiermark,1304,1.055,986,2.959
Perg,Perg,Oberösterreich,1969,7.129,7.823,9.306
Peuerbach,Grieskirchen,Oberösterreich,1994,4.530,4.456,4.697
Pinkafeld,Oberwart,Burgenland,1937,5.181,5.520,5.939
Pöchlarn,Melk,Niederösterreich,1400,3.473,3.924,4.000
Poysdorf,Mistelbach,Niederösterreich,1923,5.606,5.519,5.685
Pregarten,Freistadt,Oberösterreich,2003,4.815,5.098,5.571
Pressbaum,St. Pölten,Niederösterreich,2012,5.834,7.058,7.863
Pulkau,Hollabrunn,Niederösterreich,1985,1.568,1.574,1.505
Purbach am Neusiedler See,Eisenstadt-Umgebung,Burgenland,1997,2.570,2.713,2.984
Purkersdorf,St. Pölten,Niederösterreich,1966,7.762,9.259,9.944
Raabs an der Thaya,Waidhofen an der Thaya,Niederösterreich,1926,3.114,2.772,2.656
Radenthein Spittal an der,Drau,Kärnten,1995,6.620,6.210,5.777
Radstadt,St. Johann im Pongau,Salzburg,1289,4.710,4.845,4.947
Rattenberg,Kufstein,Tirol,1393,436,409,459
Retz,Hollabrunn,Niederösterreich,1486,4.168,4.176,4.279
Ried im Innkreis Ried im,Innkreis,Oberösterreich,1857,11.404,11.394,12.482
Rohrbach-Berg,Rohrbach,Oberösterreich,1986,2.353,2.478,5.239
Rottenmann,Liezen,Steiermark,1279,5.489,5.108,5.118
Rust,Rust,Burgenland,1681,1.714,1.896,1.964
Saalfelden am Steinernen Meer,Zell am See,Salzburg,2000,15.093,15.950,17.123
Salzburg,Salzburg,Salzburg,1287,142.662,145.270,156.619
Sankt Andrä,Wolfsberg,Kärnten,1289,10.719,10.252,9.839
St. Johann im Pongau,St. Johann im Pongau,Salzburg,2000,10.260,10.698,11.452
St. Pölten,St. Pölten,Niederösterreich,1159,49.121,51.955,57.639
St. Valentin,Amstetten,Niederösterreich,1983,8.983,9.220,9.374
Sankt Veit an der Glan,St. Veit an der Glan,Kärnten,1224,12.839,12.602,12.255
Schärding,Schärding,Oberösterreich,1316,5.052,4.876,5.351
Scheibbs,Scheibbs,Niederösterreich,1926,4.331,4.199,4.237
Schladming,Liezen,Steiermark,1322,4.570,4.434,6.553
Schrattenthal,Hollabrunn,Niederösterreich,1472,879,856,895
Schrems,Gmünd,Niederösterreich,1936,5.830,5.643,5.273
Schwanenstadt,Vöcklabruck,Oberösterreich,1627,4.131,4.120,4.649
Schwaz,Schwaz,Tirol,1899,12.212,13.023,14.211
Schwechat Bruck an der,Leitha,Niederösterreich,1922,15.286,16.529,21.166
Seekirchen am Wallersee,Salzburg-Umgebung,Salzburg,2000,9.344,9.921,11.233
Spielberg,Murtal,Steiermark,2009,4.875,5.101,5.348
Spittal an der Drau Spittal an der,Drau,Kärnten,1930,16.045,15.753,15.270
Stadl-Paura,Wels-Land,Oberösterreich,2022,4.866,4.931,5.083
Stadtschlaining,Oberwart,Burgenland,1991,2.093,2.083,1.965
Steyr,Steyr,Oberösterreich,1287,39.340,38.205,37.917
Steyregg,Urfahr-Umgebung,Oberösterreich,1481,4.749,4.779,5.107
Stockerau,Korneuburg,Niederösterreich,1893,14.452,15.624,16.974
Straßburg St. Veit an der,Glan,Kärnten,1382,2.335,2.149,1.986
Ternitz,Neunkirchen,Niederösterreich,1948,15.232,14.800,14.693
Traiskirchen,Baden,Niederösterreich,1927,15.669,17.729,19.150
Traismauer,St. Pölten,Niederösterreich,1958,5.618,5.919,6.474
Traun,Linz-Land,Oberösterreich,1973,23.470,23.709,25.006
Trieben,Liezen,Steiermark,1996,3.808,3.428,3.312
Trofaiach,Leoben,Steiermark,1979,11.773,11.298,11.003
Tulln an der Donau,Tulln,Niederösterreich,1270,13.591,15.169,16.932
Villach,Villach,Kärnten,1240,57.497,59.324,65.135
Vils,Reutte,Tirol,1327,1.567,1.482,1.507
Vöcklabruck,Vöcklabruck,Oberösterreich,1353,11.697,11.909,12.769
Voitsberg,Voitsberg,Steiermark,1224,10.074,9.619,9.538
Völkermarkt,Völkermarkt,Kärnten,1252,11.373,11.110,10.977
Waidhofen an der Thaya,Waidhofen an der Thaya,Niederösterreich,1230,5.750,5.649,5.219
Waidhofen an der,Ybbs,Niederösterreich,1273,11.662,11.455,11.126
Weitra,Gmünd,Niederösterreich,1360,2.898,2.752,2.601
Weiz,Weiz,Steiermark,1932,8.926,8.872,11.952
Wels,Wels,Oberösterreich,1222,56.478,58.591,64.385
Wien,Wien,Wien,1221,1.550.123,1.714.227,1.982.097
Wiener Neustadt,Wiener Neustadt,Niederösterreich,1277,37.627,41.305,47.878
Wieselburg,Scheibbs,Niederösterreich,1976,3.489,3.702,4.672
Wilhelmsburg,St. Pölten,Niederösterreich,1959,6.660,6.446,6.461
Wolfsberg,Wolfsberg,Kärnten,1331,25.301,24.981,25.133
Wolkersdorf im Weinviertel,Mistelbach,Niederösterreich,1968,6.191,6.739,7.425
Wörgl,Kufstein,Tirol,1951,10.885,12.751,14.403
Ybbs an der Donau,Melk,Niederösterreich,1317,5.684,5.592,5.653
Zell am See,Zell am See,Salzburg,1928,9.638,9.528,10.213
Zeltweg,Murtal,Steiermark,1966,7.834,7.176,7.114
Zistersdorf,Gänserndorf,Niederösterreich,1281,5.632,5.437,5.475
Zwettl-Niederösterreich,Zwettl,Niederösterreich,1200,11.630,11.247,10.702
